Tipo;Ano;Qualis;Autor Principal;Título do Artigo;Periódico/Evento;Aut.Total;Aut.Prof;Aut.Dout;Aut.Mestr;Aut.Grad;Autores - Nomes;PPGC
Conferência;2013;-;Claudio Fernando Resin Geyer;A Solution for Identifying Users in Pervasive Environments Using Percontrol;CLEI 2013 - Conferencia Latinoamericana en Informatica;9;1;0;0;0;"Valderi Reis Quietinho Leithardt; Luiz Henrique Andrade Correia; Guilherme Antonio Borges; Anubis Graciela de Moraes Rossetto; Carlos Oberdan Rolim; D. Raposo; David Nunes; Jorge Miguel Sá Silva; Claudio Fernando Resin Geyer";Sim
Conferência;2013;B2;Andre Inacio Reis;A Structural Algorithm to Minimize Switch Count in CMOS Logic Gates;International Workshop on Logic and Synthesis;6;2;2;0;0;"POSSANI, VINICIUS N.; CALLEGARO, VINICIUS; Andre Inacio Reis; RIBAS, RENATO P.; MARQUES, FELIPE S.; Leomar Soares da Rosa Junior";Sim
Conferência;2013;B2;Vinicius Callegaro;A Structural Algorithm to Minimize Switch Count in CMOS Logic Gates;International Workshop on Logic and Synthesis;6;2;1;0;0;"Vinícius Neves Possani; Vinicius Callegaro; Reis, A.I.; Renato Perez Ribas; Felipe de Souza Marques; Leomar Soares da Rosa Junior";Sim
Conferência;2013;B2;Vinícius Neves Possani;A Structural Algorithm to Minimize Switch Count in CMOS Logic Gates;International Workshop on Logic and Synthesis;6;4;0;0;0;"Vinícius Neves Possani; Vinicius Callegaro; REIS, ANDRE I.; RIBAS, RENATO P.; MARQUES, FELIPE S.; DA ROSA JUNIOR, LEOMAR S.";Sim
Conferência;2013;-;Eduardo Roloff;A Survey of the State-of-the- art in Event Processing;XI Workshop de Processamento Paralelo e Distribuído;3;2;0;0;0;"Otávio Carvalho; Eduardo Roloff; Philippe O. A. Navaux";Sim
Conferência;2013;-;Alexandra Lackmann Zimpeck;A Tool to Evaluate Stuck-Open Faults in CMOS Logic Gates;Simpósio Sul de Microeletrônica (SIM);3;0;0;1;0;"Cristina Meinhardt; Paulo Butzen; Alexandra Lackmann Zimpeck";Sim
Periódico;2013;A2;Philippe Olivier Alexandre Navaux;A topology-aware load balancing algorithm for clustered hierarchical multi-core machines;Future Generation Computer Systems;7;1;0;0;0;"PILLA, LAÃ‰RCIO L.; RIBEIRO, CHRISTIANE P.; COUCHENEY, PIERRE; BROQUEDIS, FRANÃ‡OIS; GAUJAL, BRUNO; Philippe Olivier Alexandre Navaux; MÃ‰HAUT, JEAN-FRANÃ‡OIS";Sim
Conferência;2013;A1;Antonio Carlos Schneider Beck Filho;A Transparent and Energy Aware Reconfigurable Multiprocessor Platform for Simultaneous ILP and TLP Exploitation;Design, Automation and Test in Europe Conference and Exhibition;3;2;0;0;0;"Mateus Beck Rutzig; Antonio Carlos Schneider Beck Filho; Luigi Carro";Sim
Conferência;2013;A1;Luigi Carro;A transparent and energy aware reconfigurable multiprocessor platform for simultaneous ILP and TLP exploitation;Design, Automation and Test in Europe Conference and Exhibition;3;2;0;0;0;"Mateus Beck Rutzig; Antonio Carlos S Beck; Luigi Carro";Sim
Conferência;2013;B1;Renato Perez Ribas;CMOS inverter delay model based on DC transfer curve for slow input;IEEE International Symposium on Quality Electronic Design;3;2;0;0;0;"MARRANGHELLO, FELIPE S.; REIS, ANDRE I.; Renato Perez Ribas";Não
Conferência;2013;B1;Renato Perez Ribas;A methodology to evaluate the aging impact on flip-flops performance;Symposium on Integrated Circuits and Systems Design;4;2;0;0;0;"NUNES, CICERO; BUTZEN, PAULO F.; REIS, ANDRE I.; Renato Perez Ribas";Não
Conferência;2013;B1;Renato Perez Ribas;Power consumption analysis in static CMOS gates;Symposium on Integrated Circuits and Systems Design;4;2;0;0;0;"WILTGEN, ALBERTO; ESCOBAR, KIM A.; REIS, ANDRE I.; Renato Perez Ribas";Não
Conferência;2013;B1;Renato Perez Ribas;Delay model for static CMOS complex gates;Symposium on Integrated Circuits and Systems Design;3;2;0;0;0;"MARRANGHELLO, FELIPE S.; REIS, ANDRE I.; Renato Perez Ribas";Não
Periódico;2013;A2;Jacob Scharcanski;A two-stage approach for discriminating melanocytic skin lesions using standard cameras;Expert Systems with Applications;3;1;0;0;0;"Pablo Cavalcanti; Jacob Scharcanski; Gladimir Baranoski";Sim
Conferência;2013;B1;Renato Perez Ribas;Analytical logical effort formulation for minimum active area under delay constraints;Symposium on Integrated Circuits and Systems Design;4;2;0;0;0;"ALEGRETTI, CAIO G. P.; DAL BEM, VINICIUS; Renato Perez Ribas; REIS, ANDRE I.";Não
Conferência;2013;B1;Renato Perez Ribas;Spin diode network synthesis using functional composition;Symposium on Integrated Circuits and Systems Design;6;2;0;0;0;"MARTINS, MAYLER G. A.; MARRANGHELLO, FELIPE S.; FRIEDMAN, JOSEPH S.; SAHAKIAN, ALAN V.; Renato Perez Ribas; REIS, ANDRE I.";Não
Conferência;2013;B5;Dieison Soares Silveira;A VLSI Architecture for Reference Frame Compression on High Definition Video Coding Systems;South Microelectronics School;6;1;0;0;0;"Guilherme Povala; Lívia Silva do Amaral; Júlio Carlos Balzano de Mattos; Marcelo Schiavon Porto; Luciano Volcan Agostini; Dieison Soares Silveira";Sim
Conferência;2013;B1;Renato Perez Ribas;Logic synthesis for manufacturability considering regularity and lithography printability;IEEE Computer Society Annual Symposium on VLSI;6;2;0;0;0;"MACHADO, LUCAS; DAL BEM, VINICIUS; MOLL, FRANCESC; GOMEZ, SERGIO; Renato Perez Ribas; REIS, ANDRE I.";Não
Conferência;2013;B4;Carlos Eduardo Pereira;A WirelessHART and IEC 61850 Gateway Proposal;Simpósio Brasileiro de Engenharia de Sistemas Computacionais;5;1;0;0;0;"Fernando Covatti; Jean Michel Winter; Ivan Muller; Carlos Eduardo Pereira; JOÃO CÉSAR NETTO";Sim
Conferência;2013;B1;Ricardo Augusto da Luz Reis;A yield-driven regular layout synthesis;IEEE Computer Society Annual Symposium on VLSI;2;1;0;0;0;"Meinhardt, Cristina; Ricardo Augusto da Luz Reis";Sim
Conferência;2013;A2;Luigi Carro;Accelerated FPGA repair through shifted scrubbing;International Conference on Field-Programmable Logic and Applications;3;1;0;0;0;"NAZAR, GABRIEL L.; SANTOS, LEONARDO P.; Luigi Carro";Sim
